,geometry,elevation,line_id
330,POINT Z (140320.487199999 393509.102200002 11.7118000000046),11.71,34
331,POINT Z (140304.710999999 393510.166000001 11.9539999999979),11.95,35
332,POINT Z (140311.721000001 393510.293000001 11.8129999999946),11.81,35
333,POINT Z (140312.829 393510.313000001 10.7930000000051),10.79,35
334,POINT Z (140313.486000001 393510.324999999 10.6359999999986),10.64,35
335,POINT Z (140314.162 393510.337000001 10.8029999999999),10.8,35
336,POINT Z (140315.916000001 393510.368999999 12.0969999999943),12.1,35
337,POINT Z (140321.554000001 393510.471000001 12.1720000000059),12.17,35
338,POINT Z (140305.844700001 393593.798900001 11.627999999997),11.63,36
339,POINT Z (140309.106800001 393594.053100001 11.6318000000028),11.63,36
340,POINT Z (140311.250999998 393594.220100001 11.6944999999978),11.69,36
341,POINT Z (140311.8094 393594.263700001 11.3035999999993),11.3,36
342,POINT Z (140313.081 393594.3627 10.3236999999936),10.32,36
343,POINT Z (140313.490699999 393594.394699998 10.2448000000004),10.24,36
344,POINT Z (140313.911600001 393594.427499998 10.3129000000044),10.31,36
345,POINT Z (140314.4714 393594.471099999 10.7054999999964),10.71,36
346,POINT Z (140315.0737 393594.517999999 11.1285999999964),11.13,36
347,POINT Z (140316.024500001 393594.592099998 11.8864000000031),11.89,36
348,POINT Z (140318.7579 393594.805100001 11.9251999999979),11.93,36
349,POINT Z (140321.200599998 393594.9954 11.8821999999927),11.88,36
350,POINT Z (140305.943 393596.884 12.1380000000063),12.14,37
351,POINT Z (140311.359999999 393597.022999998 12.1030000000028),12.1,37
352,POINT Z (140312.695 393597.057999998 10.8809999999939),10.88,37
353,POINT Z (140313.342 393597.074000001 10.7130000000034),10.71,37
354,POINT Z (140314.057999998 393597.092999998 10.8380000000034),10.84,37
355,POINT Z (140316.164999999 393597.147 12.4089999999997),12.41,37
356,POINT Z (140321.732000001 393597.289999999 12.4180000000051),12.42,37
357,POINT Z (140301.032000002 393598.237 12.1269999999931),12.13,38
358,POINT Z (140309.203000002 393598.541000001 12.099000000002),12.1,38
359,POINT Z (140087.43 393319.477000002 12.0810000000056),12.08,18
360,POINT Z (140324.136 393598.592 12.3999999999942),12.4,38
361,POINT Z (140316.013999999 393598.745999999 12.4860000000044),12.49,38
362,POINT Z (140313.25 393598.754999999 10.8080000000045),10.81,38
363,POINT Z (140312.759 393598.782000002 11.0090000000055),11.01,38
364,POINT Z (140317.613000002 393598.789999999 12.5510000000068),12.55,38
365,POINT Z (140311.256000001 393598.811000001 12.1549999999988),12.16,38
366,POINT Z (140313.982000001 393598.857999999 10.9279999999999),10.93,38
